x coord,y coord
46.173451,6.000000
41.859163,6.000000
37.447706,6.000000
32.929434,6.000000
28.304724,6.000000
46.904417,6.100000
42.601736,6.100000
38.202097,6.100000
33.695711,6.100000
29.082586,6.100000
47.634037,6.200000
43.342968,6.200000
38.955155,6.200000
34.460679,6.200000
29.859198,6.200000
48.362304,6.300000
44.082854,6.300000
39.706875,6.300000
35.224330,6.300000
30.634552,6.300000
49.089217,6.400000
44.821390,6.400000
40.457253,6.400000
35.986660,6.400000
31.408638,6.400000
49.814769,6.500000
45.558572,6.500000
41.206284,6.500000
36.747663,6.500000
32.181446,6.500000
50.538957,6.600000
46.294394,6.600000
41.953964,6.600000
37.507332,6.600000
32.952970,6.600000
51.261777,6.700000
47.028853,6.700000
42.700288,6.700000
38.265663,6.700000
33.723199,6.700000
51.983223,6.800000
47.761944,6.800000
43.445251,6.800000
39.022650,6.800000
34.492126,6.800000
52.703292,6.900000
48.493663,6.900000
44.188850,6.900000
39.778287,6.900000
35.259744,6.900000
53.421979,7.000000
49.224006,7.000000
44.931078,7.000000
40.532569,7.000000
36.026044,7.000000
54.139280,7.100000
49.952967,7.100000
45.671933,7.100000
41.285490,7.100000
36.791019,7.100000
54.855190,7.200000
50.680543,7.200000
46.411408,7.200000
42.037046,7.200000
37.554661,7.200000
55.569705,7.300000
51.406729,7.300000
47.149500,7.300000
42.787231,7.300000
38.316964,7.300000
56.282821,7.400000
52.131520,7.400000
47.886204,7.400000
43.536040,7.400000
39.077920,7.400000
56.994531,7.500000
52.854911,7.500000
48.621514,7.500000
44.283468,7.500000
39.837523,7.500000
57.704833,7.600000
53.576899,7.600000
49.355428,7.600000
45.029509,7.600000
40.595765,7.600000
58.413722,7.700000
54.297479,7.700000
50.087938,7.700000
45.774158,7.700000
41.352641,7.700000
59.121193,7.800000
55.016645,7.800000
50.819042,7.800000
46.517410,7.800000
42.108143,7.800000
59.827240,7.900000
55.734393,7.900000
51.548734,7.900000
47.259261,7.900000
42.862266,7.900000
60.531861,8.000000
56.450719,8.000000
52.277009,8.000000
47.999704,8.000000
43.615002,8.000000
61.235049,8.100000
57.165618,8.100000
53.003863,8.100000
48.738735,8.100000
44.366346,8.100000
61.936801,8.200000
57.879084,8.200000
53.729290,8.200000
49.476349,8.200000
45.116292,8.200000
62.637111,8.300000
58.591114,8.300000
54.453287,8.300000
50.212540,8.300000
45.864834,8.300000
63.335975,8.400000
59.301703,8.400000
55.175848,8.400000
50.947304,8.400000
46.611965,8.400000
64.033388,8.500000
60.010845,8.500000
