t,velocity
6.500000,6.340238
6.500000,5.383037
6.500000,4.619234
6.500000,3.985517
6.500000,3.445656
6.500000,2.977243
6.500000,2.565645
6.600000,13.200000
6.600000,9.624829
6.600000,7.718192
6.600000,6.430703
6.600000,5.465471
6.600000,4.696028
6.600000,4.057996
6.600000,3.514592
6.600000,3.043081
6.600000,2.628614
6.700000,13.400000
6.700000,9.752204
6.700000,7.820725
6.700000,6.520425
6.700000,5.547219
6.700000,4.772191
6.700000,4.129898
6.700000,3.583009
6.700000,3.108464
6.700000,2.691203
6.800000,13.600000
6.800000,9.878800
6.800000,7.922466
6.800000,6.609409
6.800000,5.628288
6.800000,4.847729
6.800000,4.201228
6.800000,3.650908
6.800000,3.173391
6.800000,2.753405
6.900000,13.800000
6.900000,10.004620
6.900000,8.023421
6.900000,6.697664
6.900000,5.708684
6.900000,4.922648
6.900000,4.271990
6.900000,3.718292
6.900000,3.237860
6.900000,2.815215
7.000000,14.000000
7.000000,10.129667
7.000000,8.123597
7.000000,6.785196
7.000000,5.788414
7.000000,4.996953
7.000000,4.342188
7.000000,3.785163
7.000000,3.301871
7.000000,2.876631
7.100000,14.200000
7.100000,10.253946
7.100000,8.223002
7.100000,6.872013
7.100000,5.867487
7.100000,5.070651
7.100000,4.411827
7.100000,3.851525
7.100000,3.365425
7.100000,2.937647
7.200000,14.400000
7.200000,10.377460
7.200000,8.321640
7.200000,6.958123
7.200000,5.945907
7.200000,5.143748
7.200000,4.480913
7.200000,3.917379
7.200000,3.428521
7.200000,2.998263
7.300000,14.600000
7.300000,10.500213
7.300000,8.419520
7.300000,7.043531
7.300000,6.023683
7.300000,5.216250
7.300000,4.549449
7.300000,3.982729
7.300000,3.491162
7.300000,3.058476
7.400000,14.800000
7.400000,10.622209
7.400000,8.516648
7.400000,7.128246
7.400000,6.100822
7.400000,5.288163
7.400000,4.617441
7.400000,4.047580
7.400000,3.553348
7.400000,3.118285
7.500000,15.000000
7.500000,10.743452
7.500000,8.613030
7.500000,7.212275
7.500000,6.177330
7.500000,5.359494
7.500000,4.684895
7.500000,4.111934
7.500000,3.615082
7.500000,3.177689
7.600000,15.200000
7.600000,10.863947
7.600000,8.708673
7.600000,7.295625
7.600000,6.253214
7.600000,5.430249
7.600000,4.751816
7.600000,4.175795
7.600000,3.676366
7.600000,3.236689
7.700000,15.400000
7.700000,10.983697
7.700000,8.803585
7.700000,7.378304
7.700000,6.328481
7.700000,5.500434
7.700000,4.818208
7.700000,4.239168
7.700000,3.737201
7.700000,3.295284
7.800000,15.600000
7.800000,11.102706
7.800000,8.897771
7.800000,7.460317
7.800000,6.403138
7.800000,5.570055
7.800000,4.884077
7.800000,4.302057
7.800000,3.797592
7.800000,3.353476
7.900000,15.800000
7.900000,11.220980
7.900000,8.991239
7.900000,7.541673
7.900000,6.477192
7.900000,5.639118
7.900000,4.949429
7.900000,4.364466
7.900000,3.857540
7.900000,3.411265
8.000000,16.000000
8.000000,11.338522
8.000000,9.083994
8.000000,7.622378
8.000000,6.550649
8.000000,5.707630
8.000000,5.014269
8.000000,4.426400
8.000000,3.917048
8.000000,3.468652
8.100000,16.200000
8.100000,11.455337
8.100000,9.176045
8.100000,7.702439
8.100000,6.623516
8.100000,5.775597
8.100000,5.078602
8.100000,4.487862
8.100000,3.976120
8.100000,3.525640
8.200000,16.400000
8.200000,11.571429
8.200000,9.267397
8.200000,7.781864
8.200000,6.695800
8.200000,5.843025
8.200000,5.142434
8.200000,4.548858
8.200000,4.034760
8.200000,3.582230
8.300000,16.600000
8.300000,11.686803
8.300000,9.358057
8.300000,7.860659
8.300000,6.767508
8.300000,5.909920
8.300000,5.205770
8.300000,4.609392
8.300000,4.092970
8.300000,3.638424
8.400000,16.800000
8.400000,11.801463
8.400000,9.448031
8.400000,7.938830
8.400000,6.838645
8.400000,5.976287
8.400000,5.268616
8.400000,4.669468
8.400000,4.150754
8.400000,3.694225
8.500000,17.000000
8.500000,11.915414
8.500000,9.537327
8.500000,8.016386
8.500000,6.909218
8.500000,6.042133
8.500000,5.330976
8.500000,4.729091
8.500000,4.208116
8.500000,3.749635
8.600000,17.200000
8.600000,12.028660
8.600000,9.625951
8.600000,8.093332
8.600000,6.979234
8.600000,6.107465
8.600000,5.392857
8.600000,4.788266
8.600000,4.265060
8.600000,3.804657
8.700000,17.400000
8.700000,12.141207
8.700000,9.713908
8.700000,8.169675
8.700000,7.048700
8.700000,6.172287
8.700000,5.454263
8.700000,4.846997
8.700000,4.321589
8.700000,3.859292
8.800000,17.600000
8.800000,12.253059
8.800000,9.801207
8.800000,8.245422
8.800000,7.117620
8.800000,6.236605
8.800000,5.515200
8.800000,4.905289
8.800000,4.377707
8.800000,3.913545
8.900000,17.800000
8.900000,12.364220
8.900000,9.887853
8.900000,8.320579
8.900000,7.186003
8.900000,6.300426
8.900000,5.575673
8.900000,4.963146
8.900000,4.433418
8.900000,3.967418
9.000000,18.000000
9.000000,12.474695
9.000000,9.973853
9.000000,8.395154
9.000000,7.253853
9.000000,6.363755
9.000000,5.635687
9.000000,5.020574
9.000000,4.488725
9.000000,4.020914
9.100000,18.200000
9.100000,12.584489
9.100000,10.059212
9.100000,8.469151
9.100000,7.321177
9.100000,6.426598
9.100000,5.695247
9.100000,5.077576
9.100000,4.543634
9.100000,4.074036
9.200000,18.400000
9.200000,12.693608
9.200000,10.143938
9.200000,8.542578
9.200000,7.387980
9.200000,6.488960
9.200000,5.754359
9.200000,5.134158
9.200000,4.598147
9.200000,4.126787
9.300000,18.600000
9.300000,12.802054
9.300000,10.228037
9.300000,8.615441
9.300000,7.454270
9.300000,6.550847
9.300000,5.813028
9.300000,5.190323
9.300000,4.652269
9.300000,4.179171
9.400000,18.800000
9.400000,12.909834
9.400000,10.311514
9.400000,8.687746
9.400000,7.520052
9.400000,6.612264
9.400000,5.871258
9.400000,5.246077
9.400000,4.706004
9.400000,4.231191
9.500000,19.000000
9.500000,13.016952
9.500000,10.394377
9.500000,8.759499
9.500000,7.585331
9.500000,6.673217
9.500000,5.929055
9.500000,5.301424
9.500000,4.759355
9.500000,4.282850
9.600000,19.200000
9.600000,13.123413
9.600000,10.476631
9.600000,8.830707
9.600000,7.650113
9.600000,6.733711
9.600000,5.986423
9.600000,5.356368
9.600000,4.812326
9.600000,4.334151
9.700000,19.400000
9.700000,13.229222
9.700000,10.558283
9.700000,8.901375
9.700000,7.714405
9.700000,6.793751
9.700000,6.043368
9.700000,5.410913
9.700000,4.864922
9.700000,4.385098
9.800000,19.600000
9.800000,13.334383
9.800000,10.639338
9.800000,8.971509
9.800000,7.778211
9.800000,6.853343
9.800000,6.099894
9.800000,5.465065
9.800000,4.917146
9.800000,4.435694
9.900000,19.800000
9.900000,13.438902
9.900000,10.719802
9.900000,9.041117
9.900000,7.841538
9.900000,6.912492
9.900000,6.156006
9.900000,5.518828
9.900000,4.969002
9.900000,4.485943
10.000000,20.000000
10.000000,13.542783
10.000000,10.799682
10.000000,9.110202
10.000000,7.904390
10.000000,6.971203
10.000000,6.211708
10.000000,5.572205
10.000000,5.020495
10.000000,4.535847
10.100000,20.200000
10.100000,13.646030
10.100000,10.878984
10.100000,9.178771
10.100000,7.966774
10.100000,7.029481
10.100000,6.267006
10.100000,5.625201
10.100000,5.071627
10.100000,4.585410
10.200000,20.400000
10.200000,13.748650
10.200000,10.957713
10.200000,9.246831
10.200000,8.028694
10.200000,7.087331
10.200000,6.321904
10.200000,5.677820
10.200000,5.122403
10.200000,4.634636
10.300000,20.600000
10.300000,13.850646
10.300000,11.035875
10.300000,9.314386
10.300000,8.090156
10.300000,7.144757
10.300000,6.376407
10.300000,5.730067
10.300000,5.172826
10.300000,4.683528
10.400000,20.800000
10.400000,13.952023
10.400000,11.113476
10.400000,9.381441
10.400000,8.151165
10.400000,7.201766
10.400000,6.430518
10.400000,5.781946
10.400000,5.222901
10.400000,4.732089
10.500000,21.000000
10.500000,14.052787
10.500000,11.190522
10.500000,9.448004
10.500000,8.211727
10.500000,7.258361
10.500000,6.484243
10.500000,5.833460
10.500000,5.272630
10.500000,4.780322
10.600000,21.200000
10.600000,14.152941
10.600000,11.267018
10.600000,9.514078
10.600000,8.271846
10.600000,7.314548
10.600000,6.537586
10.600000,5.884614
10.600000,5.322019
10.600000,4.828232
10.700000,21.400000
10.700000,14.252491
10.700000,11.342970
10.700000,9.579670
10.700000,8.331528
10.700000,7.370330
10.700000,6.590551
10.700000,5.935412
10.700000,5.371069
10.700000,4.875820
10.800000,21.600000
10.800000,14.351442
10.800000,11.418383
10.800000,9.644785
10.800000,8.390777
10.800000,7.425713
10.800000,6.643143
10.800000,5.985857
10.800000,5.419786
10.800000,4.923091
10.900000,21.800000
10.900000,14.449798
10.900000,11.493264
10.900000,9.709428
10.900000,8.449598
10.900000,7.480701
10.900000,6.695365
10.900000,6.035954
10.900000,5.468172
10.900000,4.970048
11.000000,22.000000
11.000000,14.547563
11.000000,11.567617
11.000000,9.773604
11.000000,8.507997
11.000000,7.535299
11.000000,6.747223
11.000000,6.085707
11.000000,5.516232
11.000000,5.016694
11.100000,22.200000
11.100000,14.644743
11.100000,11.641448
11.100000,9.837319
11.100000,8.565977
11.100000,7.589511
11.100000,6.798719
11.100000,6.135119
11.100000,5.563968
11.100000,5.063031
11.200000,22.400000
11.200000,14.741343
11.200000,11.714763
11.200000,9.900578
11.200000,8.623545
11.200000,7.643342
11.200000,6.849858
11.200000,6.184194
11.200000,5.611384
11.200000,5.109064
11.300000,22.600000
11.300000,14.837366
11.300000,11.787566
11.300000,9.963385
11.300000,8.680703
11.300000,7.696795
11.300000,6.900645
11.300000,6.232936
11.300000,5.658483
11.300000,5.154796
11.400000,22.800000
11.400000,14.932818
11.400000,11.859862
11.400000,10.025746
11.400000,8.737458
11.400000,7.749876
11.400000,6.951083
11.400000,6.281349
11.400000,5.705270
11.400000,5.200229
11.500000,23.000000
11.500000,15.027703
11.500000,11.931658
11.500000,10.087665
11.500000,8.793814
11.500000,7.802588
11.500000,7.001175
11.500000,6.329435
11.500000,5.751747
11.500000,5.245367
11.600000,23.200000
11.600000,15.122025
11.600000,12.002959
11.600000,10.149148
11.600000,8.849774
11.600000,7.854935
11.600000,7.050927
11.600000,6.377200
11.600000,5.797918
11.600000,5.290213
11.700000,23.400000
11.700000,15.215790
11.700000,12.073768
11.700000,10.210198
11.700000,8.905344
11.700000,7.906922
11.700000,7.100341
11.700000,6.424645
11.700000,5.843786
11.700000,5.334769
11.800000,23.600000
11.800000,15.309002
11.800000,12.144092
11.800000,10.270822
11.800000,8.960528
11.800000,7.958552
11.800000,7.149422
11.800000,6.471776
11.800000,5.889354
11.800000,5.379039
11.900000,23.800000
11.900000,15.401665
11.900000,12.213935
11.900000,10.331023
11.900000,9.015330
11.900000,8.009830
11.900000,7.198172
11.900000,6.518594
11.900000,5.934626
11.900000,5.423027
12.000000,24.000000
12.000000,15.493784
12.000000,12.283302
12.000000,10.390807
12.000000,9.069754
12.000000,8.060760
12.000000,7.246597
12.000000,6.565105
12.000000,5.979604
12.000000,5.466733
12.100000,24.200000
12.100000,15.585364
